channel,spend,revenue,impressions,clicks,conversions,ctr,roas
LinkedIn,892,5164.56,130389,7647,1893,5.86,5.79
YouTube,4482,18201.76,162958,12781,251,7.84,4.06
LinkedIn,1452,7003.69,216889,3770,1362,1.74,4.82
Email,3309,17061.41,181518,6912,2475,3.81,5.16
Google,1428,4887.13,92345,49437,4900,53.54,3.42
YouTube,4736,16221.75,17817,41923,4259,235.3,3.43
Meta,2956,9341.7,313098,11190,594,3.57,3.16
LinkedIn,1916,7932.97,485224,20315,2538,4.19,4.14
Google,3363,8060.22,46516,8215,2419,17.66,2.4
YouTube,2235,12960.42,168796,33872,1754,20.07,5.8
Snapchat,3211,14495.0,423138,46341,1307,10.95,4.51
Email,3072,6779.89,94033,26621,2351,28.31,2.21
Meta,3443,20384.41,77918,9122,4576,11.71,5.92
YouTube,1463,4280.41,225435,43274,4508,19.2,2.93
Meta,1020,5982.35,113085,22212,3912,19.64,5.87
Snapchat,3964,21246.1,490761,34493,3539,7.03,5.36
Pinterest,2433,7921.56,63416,4549,3041,7.17,3.26
Meta,2473,7413.38,96339,22459,2139,23.31,3.0
TikTok,2855,15118.3,377592,14995,1934,3.97,5.3
Twitter,1348,7067.05,259926,15781,2206,6.07,5.24
LinkedIn,855,3076.21,367533,13254,2984,3.61,3.6
Email,2389,5275.51,391765,23739,3125,6.06,2.21
LinkedIn,2675,14117.74,404440,48790,3994,12.06,5.28
LinkedIn,1972,4088.46,478722,23661,4024,4.94,2.07
Email,3384,10594.7,40310,36927,2929,91.61,3.13
Email,1891,5581.87,354752,27221,830,7.67,2.95
Google,4694,16218.05,225743,30014,3177,13.3,3.46
Email,1416,7261.54,458268,20907,3266,4.56,5.13
Instagram,1476,7392.87,150085,30648,4882,20.42,5.01
Pinterest,836,4571.95,436899,24912,2367,5.7,5.47
YouTube,3076,9457.24,324707,42951,1720,13.23,3.07
Snapchat,582,3300.61,193673,33592,885,17.34,5.67
Instagram,4719,22854.72,10673,33614,4527,314.94,4.84
Meta,3538,18895.33,169364,27590,3379,16.29,5.34
Twitter,2519,7168.89,137340,10843,2596,7.9,2.85
Snapchat,948,3952.66,65807,6778,1166,10.3,4.17
Email,785,1953.73,235480,8591,2404,3.65,2.49
TikTok,3990,21858.72,180208,25603,4938,14.21,5.48
Twitter,2408,10002.22,335484,27050,1026,8.06,4.15
LinkedIn,2765,14287.01,280167,25173,3231,8.98,5.17
Email,3181,17265.05,427229,32057,1875,7.5,5.43
Instagram,4929,18625.4,197287,11826,4047,5.99,3.78
Snapchat,2163,8779.38,356156,38028,4154,10.68,4.06
Meta,1935,8011.01,473415,23801,291,5.03,4.14
Twitter,4518,9088.14,417519,36628,3003,8.77,2.01
TikTok,3080,15237.17,478553,43582,4744,9.11,4.95
Snapchat,979,2982.42,427125,24748,1721,5.79,3.05
Twitter,1261,3245.34,312336,34766,4864,11.13,2.57
TikTok,2288,10432.33,414298,28968,4985,6.99,4.56
LinkedIn,827,2203.03,40741,11330,2275,27.81,2.66
LinkedIn,1874,10449.04,330146,37839,3502,11.46,5.58
Snapchat,2044,7496.93,399119,27587,3384,6.91,3.67
Instagram,2276,10553.11,36256,27829,1379,76.76,4.64
Snapchat,3787,11716.85,282778,10347,828,3.66,3.09
TikTok,4259,18970.54,447776,6294,94,1.41,4.45
Instagram,577,2601.49,465386,32438,1580,6.97,4.51
TikTok,4711,12312.84,279794,41061,3005,14.68,2.61
YouTube,2290,6231.72,23643,31737,502,134.23,2.72
Twitter,1959,5649.24,410384,5230,3877,1.27,2.88
Pinterest,2301,6358.58,116540,35258,4752,30.25,2.76
YouTube,1691,8077.14,302719,49104,4475,16.22,4.78
Google,4402,13631.59,201087,30397,3894,15.12,3.1
Pinterest,779,4144.83,208805,27107,475,12.98,5.32
Email,878,4641.77,230551,42322,1230,18.36,5.29
YouTube,1692,3697.98,456977,35597,2821,7.79,2.19
YouTube,4256,10017.6,135301,20473,1260,15.13,2.35
Pinterest,1720,3702.62,91409,5355,1246,5.86,2.15
Google,520,1795.12,303792,32133,4284,10.58,3.45
Instagram,4653,9421.24,321250,37864,3502,11.79,2.02
LinkedIn,3926,22374.36,193800,11388,716,5.88,5.7
TikTok,1070,5897.78,265230,15947,3602,6.01,5.51
Meta,2477,6561.58,83858,8119,4734,9.68,2.65
Snapchat,1997,6605.07,208782,37552,1554,17.99,3.31
Email,2979,6275.34,320461,37424,3214,11.68,2.11
Snapchat,1732,5312.01,223948,44574,1957,19.9,3.07
Google,4128,18803.43,103814,27985,544,26.96,4.56
Snapchat,2940,7170.04,316471,15764,1377,4.98,2.44
Meta,854,4184.68,321786,20597,2523,6.4,4.9
Instagram,1920,7587.24,265085,10058,145,3.79,3.95
Snapchat,1646,8190.94,119130,6573,408,5.52,4.98
LinkedIn,4170,21813.01,103576,37346,2144,36.06,5.23
Twitter,979,3756.89,289400,12281,2885,4.24,3.84
Pinterest,3266,9297.45,340822,3438,322,1.01,2.85
LinkedIn,3457,12005.65,317013,34792,4631,10.97,3.47
Twitter,4092,8282.99,162770,41860,916,25.72,2.02
Meta,2990,7136.6,496977,38933,2247,7.83,2.39
Instagram,3905,22890.45,329925,27365,297,8.29,5.86
Twitter,3146,13163.04,250391,24443,730,9.76,4.18
TikTok,2776,6712.61,317653,30515,159,9.61,2.42
Google,2479,8414.25,216779,36938,4073,17.04,3.39
Twitter,3601,18234.49,148426,39709,2623,26.75,5.06
Meta,3172,6839.22,387291,15474,2160,4.0,2.16
YouTube,2315,7722.82,487697,35264,4766,7.23,3.34
Instagram,1471,7634.43,371201,27698,4130,7.46,5.19
YouTube,2505,11177.15,202145,45209,1357,22.36,4.46
Snapchat,1982,6731.79,53754,10003,1375,18.61,3.4
LinkedIn,3197,14300.93,323726,26087,4057,8.06,4.47
Email,1316,5684.09,106451,48620,561,45.67,4.32
Pinterest,2958,15850.16,462816,5567,4599,1.2,5.36
Instagram,4872,25500.25,189522,37563,4504,19.82,5.23
Snapchat,3916,8580.84,33289,2458,4587,7.38,2.19
Twitter,557,1287.35,398262,35097,3146,8.81,2.31
Pinterest,1842,10151.66,287910,42940,257,14.91,5.51
YouTube,893,5232.19,89673,17662,3894,19.7,5.86
Pinterest,2841,9718.62,369708,37649,1408,10.18,3.42
LinkedIn,2174,9149.29,301527,21783,4475,7.22,4.21
Pinterest,2998,9517.63,83293,14269,1527,17.13,3.17
YouTube,1712,7430.69,417976,41939,4416,10.03,4.34
Meta,1850,9665.41,413968,9725,4966,2.35,5.22
Instagram,1545,5777.59,497640,24018,1319,4.83,3.74
Twitter,1698,4149.68,63133,25146,4228,39.83,2.44
Snapchat,4267,21999.78,269323,29785,1049,11.06,5.16
Meta,2213,9600.81,165972,23908,3433,14.4,4.34
TikTok,4238,24397.46,473828,30140,4095,6.36,5.76
LinkedIn,4778,11359.61,126035,35894,1178,28.48,2.38
Meta,4766,16695.33,80899,11970,3242,14.8,3.5
Instagram,1451,5561.05,463122,8180,430,1.77,3.83
Snapchat,1109,4062.27,37098,18440,3440,49.71,3.66
Google,4274,25047.97,140577,8627,2288,6.14,5.86
Instagram,3396,11694.53,414245,34513,3716,8.33,3.44
Meta,2535,9503.51,296772,13831,1986,4.66,3.75
Twitter,1221,2592.07,461311,33147,2904,7.19,2.12
Twitter,2504,8746.96,309513,9025,2210,2.92,3.49
Snapchat,2063,5490.22,54440,27631,3704,50.75,2.66
Email,3560,8021.95,96610,42973,2246,44.48,2.25
Pinterest,2237,11379.22,121259,33862,4419,27.93,5.09
Instagram,1557,7238.99,245845,4805,4210,1.95,4.65
Email,2161,10428.49,478758,13477,4106,2.81,4.83
Email,3521,7268.55,143371,23299,1169,16.25,2.06
Snapchat,3135,13935.45,310909,41408,3472,13.32,4.45
Twitter,982,2282.01,232728,15387,1355,6.61,2.32
Pinterest,646,3480.02,144917,44659,516,30.82,5.39
Snapchat,2670,6640.61,100056,2240,495,2.24,2.49
Pinterest,3582,19351.91,263078,16982,1904,6.46,5.4
Google,2374,9382.15,477582,21433,4745,4.49,3.95
YouTube,3971,14386.65,490475,10233,887,2.09,3.62
Email,4773,12892.16,247905,2612,3007,1.05,2.7
Twitter,2941,15118.82,126902,11221,591,8.84,5.14
Instagram,762,4388.08,174413,40461,4925,23.2,5.76
LinkedIn,1375,3225.51,220894,39415,1298,17.84,2.35
Google,2217,11787.09,419116,44387,203,10.59,5.32
LinkedIn,4465,15587.71,119762,42264,4962,35.29,3.49
YouTube,1160,6614.36,394750,36915,3806,9.35,5.7
LinkedIn,3583,10437.93,117322,48924,2026,41.7,2.91
TikTok,4169,12507.36,409179,2612,2596,0.64,3.0
YouTube,4937,20271.19,172803,36769,3819,21.28,4.11
YouTube,2777,9671.93,57376,9101,2313,15.86,3.48
Twitter,3995,23489.12,388633,13195,1524,3.4,5.88
Twitter,4157,20523.64,49551,12712,3826,25.65,4.94
Snapchat,1917,6161.2,98512,9851,4638,10.0,3.21
YouTube,3277,16585.42,196117,16088,4341,8.2,5.06
YouTube,730,2872.83,370700,5415,1556,1.46,3.94
Instagram,1056,2627.52,167354,33634,3534,20.1,2.49
TikTok,2928,13782.76,213358,28644,113,13.43,4.71
TikTok,4505,16983.94,59997,9053,4710,15.09,3.77
Twitter,1067,5540.48,477087,49372,1792,10.35,5.19
Twitter,1852,5657.79,478397,44494,1839,9.3,3.05
Email,3438,7921.11,37273,21500,3224,57.68,2.3
Email,603,3193.73,32076,47475,1602,148.01,5.3
YouTube,2017,5994.33,498307,31258,3748,6.27,2.97
Pinterest,4554,21842.69,425982,49933,2430,11.72,4.8
Google,3601,20865.55,485933,39692,928,8.17,5.79
Pinterest,4725,25868.81,271173,40112,355,14.79,5.47
Pinterest,2682,6107.95,369332,25951,779,7.03,2.28
LinkedIn,1694,7794.19,134701,42369,910,31.45,4.6
Twitter,970,2406.44,79049,13081,2437,16.55,2.48
Google,910,3072.36,121756,29348,891,24.1,3.38
Snapchat,2944,10622.34,269980,1783,1769,0.66,3.61
Email,3193,9556.86,45730,14293,761,31.26,2.99
TikTok,3719,15259.16,459518,24053,1944,5.23,4.1
Email,4476,26370.35,374155,29028,2646,7.76,5.89
YouTube,4452,24550.04,105144,25313,3807,24.07,5.51
Snapchat,3250,13462.75,21093,47791,294,226.57,4.14
LinkedIn,3597,10431.53,436741,26571,1378,6.08,2.9
YouTube,3604,16625.15,277722,43948,206,15.82,4.61
Twitter,1611,5312.35,326784,20849,168,6.38,3.3
Instagram,1136,3866.31,444465,1973,437,0.44,3.4
Meta,4275,8580.13,446434,26872,2760,6.02,2.01
LinkedIn,4896,18554.42,192014,12657,3903,6.59,3.79
TikTok,3645,20701.15,174052,4480,809,2.57,5.68
Email,3200,17832.97,217993,37389,4707,17.15,5.57
Email,2577,7772.2,378719,32233,4494,8.51,3.02
Meta,1255,4995.33,12520,29652,673,236.84,3.98
Instagram,4833,16318.87,298983,20855,3677,6.98,3.38
Meta,4949,10710.32,338845,24093,4263,7.11,2.16
Email,653,1935.45,349658,40678,86,11.63,2.96
Meta,4332,8999.17,452534,24908,452,5.5,2.08
Instagram,1771,6746.12,428756,8029,1342,1.87,3.81
Meta,4791,10333.73,381834,44052,2972,11.54,2.16
Pinterest,4833,9852.65,495602,42591,4717,8.59,2.04
LinkedIn,1066,3724.09,161922,11062,1146,6.83,3.49
Pinterest,3354,15167.34,409275,46833,2881,11.44,4.52
Google,3158,17604.61,363434,38664,3178,10.64,5.57
Meta,2212,5908.69,122844,29961,3100,24.39,2.67
Meta,2900,16764.1,403293,4704,948,1.17,5.78
Instagram,1509,7741.59,222442,20590,3463,9.26,5.13
Snapchat,2421,9256.69,268821,15624,535,5.81,3.82
Twitter,3559,19961.19,20556,37317,1013,181.54,5.61
Email,1395,7800.6,106586,36137,4232,33.9,5.59
Google,3569,12830.31,302272,32847,689,10.87,3.59
YouTube,3635,20367.69,45553,49234,3751,108.08,5.6
Google,1164,3288.23,18330,49506,293,270.08,2.82
Snapchat,3665,15542.01,111826,11286,1849,10.09,4.24
Pinterest,3530,17429.45,481892,4047,3007,0.84,4.94
Snapchat,626,1287.96,382800,28852,986,7.54,2.06
Email,3946,10849.56,404113,42184,2435,10.44,2.75
Google,624,2141.16,237405,49406,2497,20.81,3.43
Google,2674,7215.7,335798,14628,2375,4.36,2.7
Google,2342,5405.06,231344,36161,4078,15.63,2.31
TikTok,1554,3801.32,354059,30142,1699,8.51,2.45
Email,1717,6813.6,43744,1825,1046,4.17,3.97
YouTube,4558,16871.36,49194,17918,2057,36.42,3.7
Snapchat,4000,19625.52,269777,31632,2436,11.73,4.91
LinkedIn,1097,4940.73,273893,4807,4641,1.76,4.5
Pinterest,2503,12291.88,74939,37938,4140,50.63,4.91
YouTube,1064,6011.81,65149,8606,3403,13.21,5.65
Email,612,3602.06,70862,1693,3231,2.39,5.89
Meta,2220,13184.7,431161,34722,1118,8.05,5.94
Meta,1113,4089.06,468279,44814,1752,9.57,3.67
Email,2346,8012.59,220102,39960,3684,18.16,3.42
YouTube,1468,5956.86,30827,17177,3835,55.72,4.06
Instagram,1737,7646.38,143697,17091,3843,11.89,4.4
YouTube,3012,12794.7,118580,42000,3542,35.42,4.25
LinkedIn,2994,10892.21,157674,6677,1856,4.23,3.64
Instagram,4920,13882.84,365116,23159,1894,6.34,2.82
TikTok,1852,10635.22,361142,27684,2154,7.67,5.74
Snapchat,3322,15861.33,64628,43451,514,67.23,4.77
Pinterest,3933,16845.76,164259,11908,3667,7.25,4.28
Google,3157,18141.0,116052,30721,3146,26.47,5.75
Snapchat,1013,5788.04,84544,21073,168,24.93,5.71
Pinterest,2501,9204.41,105485,34255,3921,32.47,3.68
TikTok,1724,3817.0,183852,9810,457,5.34,2.21
Email,3127,12178.92,375347,31597,3745,8.42,3.89
LinkedIn,1463,4690.38,114696,42297,614,36.88,3.21
Pinterest,4130,13595.25,159555,25797,2997,16.17,3.29
TikTok,4269,16387.97,496387,44444,4097,8.95,3.84
Meta,1584,7366.32,134405,23460,1229,17.45,4.65
Twitter,4450,9492.03,373014,31087,1785,8.33,2.13
YouTube,3555,13611.38,456239,38073,258,8.34,3.83
Pinterest,3989,10906.74,480055,32114,1449,6.69,2.73
LinkedIn,4087,17055.63,437254,46978,76,10.74,4.17
LinkedIn,2986,14941.57,62527,43745,2658,69.96,5.0
Email,3360,11523.13,338952,34173,1858,10.08,3.43
TikTok,4957,11012.73,240861,34793,4455,14.45,2.22
Snapchat,4321,10068.33,276067,46701,840,16.92,2.33
Snapchat,2196,12767.69,102816,31629,4306,30.76,5.81
LinkedIn,4556,25729.91,368934,2325,2174,0.63,5.65
Instagram,1308,6191.86,236833,22413,2259,9.46,4.73
Email,4448,18275.45,73708,40639,3063,55.14,4.11
Email,1817,5089.65,95952,14075,3892,14.67,2.8
Meta,3651,13197.09,209560,26528,4128,12.66,3.61
Instagram,775,4242.3,48268,5337,2647,11.06,5.47
Pinterest,2491,5515.06,75855,42475,3916,55.99,2.21
Meta,1547,4993.78,467866,11871,3812,2.54,3.23
Twitter,3758,11821.18,19130,42504,732,222.19,3.15
TikTok,4652,17040.86,487613,46469,2405,9.53,3.66
TikTok,2334,7809.98,316539,25191,1199,7.96,3.35
Instagram,3713,13339.35,94634,43239,1818,45.69,3.59
LinkedIn,4251,14720.53,461835,31185,3344,6.75,3.46
Snapchat,3307,9283.29,158047,35338,259,22.36,2.81
Meta,2904,11358.52,186982,20360,609,10.89,3.91
